680.0 KB	564507e8e000-564507f38000 r--p 00000000 08:00 290860                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/target/release/controller
  1.1 MB	778d147ab000-778d148cb000 rw-p 00000000 00:00 0 
  6.0 GB	778d148cb000-778e947ab000 ---p 00000000 00:00 0 
  4.0 KB	778e947ab000-778e947ac000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	778e947ac000-778e948d4000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	778e948d4000-778e94a4e000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	778e94a4e000-778f14a4e000 ---p 00000000 00:00 0 
  1.1 MB	778f14a4e000-778f14b6e000 rw-p 00000000 00:00 0 
  6.0 GB	778f14b6e000-779094a4e000 ---p 00000000 00:00 0 
  4.0 KB	779094a4e000-779094a4f000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	779094a4f000-779094b77000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	779094b77000-779094cf1000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	779094cf1000-779114cf1000 ---p 00000000 00:00 0 
  1.1 MB	779114cf1000-779114e11000 rw-p 00000000 00:00 0 
  6.0 GB	779114e11000-779294cf1000 ---p 00000000 00:00 0 
